UID        PID  PPID  C STIME TTY          TIME CMD
oracle    2652     1  0 Sep15 ?        00:00:08 ora_s000_HPOOUSP
oracle    2656     1  0 Sep15 ?        00:00:23 ora_dmon_HPOOUSP
oracle    2682     1  0 Sep15 ?        00:01:15 ora_arc0_HPOOUSP
oracle    2686     1  0 Sep15 ?        00:00:59 ora_arc1_HPOOUSP
oracle    2690     1  0 Sep15 ?        00:01:17 ora_arc2_HPOOUSP
oracle    2694     1  0 Sep15 ?        00:00:13 ora_arc3_HPOOUSP
oracle    2698     1  0 Sep15 ?        00:01:21 ora_arc4_HPOOUSP
oracle    2702     1  0 Sep15 ?        00:01:07 ora_arc5_HPOOUSP
oracle    2706     1  0 Sep15 ?        00:01:06 ora_arc6_HPOOUSP
oracle    2710     1  0 Sep15 ?        00:01:17 ora_arc7_HPOOUSP
oracle    2734     1  0 Sep15 ?        00:00:20 ora_insv_HPOOUSP
oracle    2742     1  0 Sep15 ?        00:00:00 oracleHPOOUSP (LOCAL=NO)
oracle    2746     1  0 Sep15 ?        00:00:10 ora_nsv0_HPOOUSP
oracle    2750     1  0 Sep15 ?        00:19:22 ora_rsm0_HPOOUSP
oracle    2785     1  0 Sep15 ?        00:00:03 oracleHPOOUSP (LOCAL=NO)
oracle    2795     1  0 Sep15 ?        00:00:00 oracleHPOOUSP (LOCAL=NO)
root      2813     1  0 Sep15 ?        00:00:21 /usr/sbin/httpd
root      3064     1  0 Sep15 ?        00:06:35 /usr/local/monitor/bin/perl /usr/local/monitor/bin/wots.pl --config=/usr/local/monitor/etc/wots.cfg --daemon=on --pidfile=/usr/local/monitor/log
root      3074     1  0 Sep15 ?        00:12:37 /usr/local/monitor/bin/scheduler /usr/local/monitor/log/scheduler.log /usr/local/monitor/etc/sia.cfg
oracle    3311     1  0 Sep15 ?        00:00:54 ora_mrp0_HPOOUSP
root      3318     1  0 Sep15 ?        00:00:48 /usr/local/monitor/bin/monitor /usr/local/monitor/etc/sia.cfg
oracle    3344     1  0 Sep15 ?        00:38:28 ora_pr00_HPOOUSP
oracle    3348     1  0 Sep15 ?        00:45:24 ora_pr01_HPOOUSP
oracle    3352     1  0 Sep15 ?        00:43:15 ora_pr02_HPOOUSP
oracle    3356     1  0 Sep15 ?        00:40:59 ora_pr03_HPOOUSP
oracle    3360     1  0 Sep15 ?        00:41:05 ora_pr04_HPOOUSP
root      3672     1  0 Sep15 tty1     00:00:00 /sbin/mingetty /dev/tty1
root      3674     1  0 Sep15 tty2     00:00:00 /sbin/mingetty /dev/tty2
root      4081     1  0 Sep20 ?        00:00:08 ./bin/discagnt
root      4130  2325  0 Sep15 ?        00:00:00 CROND
oracle    4133  4130  0 Sep15 ?        00:00:00 /bin/sh -c /data01/home/oracle/monitor/monitor_HPOOUSP_session_wait.sh >/dev/null 2>&1
oracle    4137  4133  0 Sep15 ?        00:01:04 /bin/sh /data01/home/oracle/monitor/monitor_HPOOUSP_session_wait.sh
oracle    4155     1  0 Sep15 ?        00:01:27 /bin/sh ./OSWatcher.sh 60 168
root      4193     2  0 Sep15 ?        00:00:03 [flush-253:4]
oracle    4250  4155  0 Sep15 ?        00:00:52 /bin/sh ./OSWatcherFM.sh 168 /data01/home/oracle/oswbb/archive
root      4896  4081  0 Sep20 ?        00:02:52 /opt/HP/Discovery/bin/Plugins/usage/discusge -d /root/.discagnt -n 365
root      5052 28782  0 Sep26 pts/3    00:00:00 tail -F /var/log/httpd/ssl_error_log
oracle    5503  4155  0 11:23 ?        00:00:00 sleep 60
oracle    5631  4137  0 11:23 ?        00:00:00 sleep 20
oracle    5668  4250  0 11:23 ?        00:00:00 sleep 60
oracle    5675 32270  0 11:24 ?        00:00:00 ping -i2 -c30 10.12.243.27
msolayap  5683 20659  0 11:24 pts/2    00:00:00 ps -ef
apache    9648  2813  0 Sep26 ?        00:00:00 /usr/sbin/httpd
oracle   18057     1  0 Sep15 ?        00:31:39 oracleHPOOUSP (LOCAL=NO)
oracle   18080     1  0 Sep15 ?        00:00:31 oracleHPOOUSP (LOCAL=NO)
root     20562  1906  0 10:09 ?        00:00:00 sshd: root@pts/2 
root     20597  1906  0 10:09 ?        00:00:00 sshd: root@notty 
root     20613 20562  0 10:09 pts/2    00:00:00 -bash
root     20636 20597  0 10:09 ?        00:00:00 /usr/libexec/openssh/sftp-server
root     20657 20613  0 10:09 pts/2    00:00:00 sudo su - msolayap
root     20658 20657  0 10:09 pts/2    00:00:00 su - msolayap
msolayap 20659 20658  0 10:09 pts/2    00:00:00 -bash
root     24083  1906  0 Sep25 ?        00:00:00 sshd: root@pts/0 
root     24092 24083  0 Sep25 pts/0    00:00:00 -bash
root     28749  1906  0 Sep21 ?        00:00:10 sshd: root@notty 
root     28753 28749  0 Sep21 ?        00:00:04 -bash
root     28770  1906  0 Sep21 ?        00:00:08 sshd: root@pts/3 
root     28782 28770  0 Sep21 pts/3    00:00:00 -bash
root     29596  1906  0 Sep21 ?        00:00:02 sshd: root@notty 
root     29601 29596  0 Sep21 ?        00:00:00 -bash
apache   30155  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30157  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30158  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30160  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30161  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30162  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30163  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
apache   30164  2813  0 Sep25 ?        00:00:00 /usr/sbin/httpd
root     30786  1906  0 Sep22 ?        00:00:01 sshd: root@notty 
root     30790 30786  0 Sep22 ?        00:00:00 -bash
root     32257  2325  0 11:00 ?        00:00:00 CROND
oracle   32267 32257  0 11:00 ?        00:00:00 /bin/sh -c /data01/home/oracle/tools/ping/ping_report.sh /data01/home/oracle/tools/ping/10.12.243.27 2 30 60 10.12.243.27 /dev/null 2>&1
oracle   32270 32267  0 11:00 ?        00:00:00 /bin/sh /data01/home/oracle/tools/ping/ping_report.sh /data01/home/oracle/tools/ping/10.12.243.27 2 30 60 10.12.243.27 /dev/null
